Date;Portfolio;StocksEUR;StocksUSD;ETF Global;ETF FI Global;Cash
2017,06,01;100,000;0,996615643176249;;;;0,00338435682375124
2017,07,01;103,539;0,996731311926752;;;;0,00326868807324788
2017,08,01;113,187;0,997009929780785;;;;0,00299007021921532
2017,09,01;120,350;0,997187895333464;;;;0,00281210466653569
2017,10,01;121,580;0,995185523587737;;;;0,00481447641226343
2017,11,01;130,151;0,995502562132922;;;;0,00449743786707774
2017,12,01;125,801;0,995347029012117;;;;0,00465297098788282
2018,01,01;118,182;0,995047087312078;;;;0,00495291268792162
2018,02,01;122,588;0,995956320067414;;;;0,00404367993258634
2018,03,01;126,950;0,996095268885636;;;;0,00390473111436408
2018,04,01;123,487;0,995985767596933;;;;0,00401423240306714
2018,05,01;117,880;0,989614419336661;;;;0,0103855806633386
2018,06,01;115,841;0,799622789106684;;;;0,200377210893316
2018,07,01;119,200;0,80526943286011;;;;0,19473056713989
2018,08,01;114,997;0,940206322322272;;;;0,0597936776777282
2018,09,01;114,824;0,976061673625048;;;;0,0239383263749521
2018,10,01;109,857;0,974979279722502;;;;0,0250207202774982
2018,11,01;108,780;0,743981166704161;;;;0,256018833295839
2018,12,01;97,464;0,890996725406121;;;;0,109003274593879
2019,01,01;104,536;0,898371158149735;;;;0,101628841850265
2019,02,01;110,216;0,903608357929525;;;;0,0963916420704753
2019,03,01;104,437;0,995029063679324;;;;0,00497093632067592
2019,04,01;108,588;0,857042928268703;;;;0,142957071731297
2019,05,01;99,200;0,980439321682004;;;;0,0195606783179961
2019,06,01;105,540;0,980626523317723;;;;0,019373476682277
2019,07,01;101,777;0,667589281837524;;;;0,332410718162475
2019,08,01;99,560;0,817601184380584;;;;0,182398815619416
2019,09,01;103,846;0,824678368707722;;;;0,175321631292278
2019,10,01;109,228;0,816737289476839;;;;0,183262710523161
2019,11,01;107,761;0,960274610638862;;;;0,0397253893611379
2019,12,01;111,804;0,964089838204454;;;;0,0359101617955461
2020,01,01;102,634;0,956217131104712;;;;0,0437828688952879
2020,02,01;93,896;0,952142479452367;;;;0,0478575205476332
2020,03,01;72,773;0,68221905256591;;;;0,31778094743409
2020,04,01;76,657;0,963134482173839;;;;0,0368655178261607
2020,05,01;79,396;0,849563262401521;;;;0,150436737598479
2020,06,01;82,768;0,964382240898321;;;;0,0356177591016786
2020,07,01;81,859;0,913819786477566;;;;0,0861802135224341
2020,08,01;83,519;0,631105591418394;;0,0482920038759161;0,0206965730896783;0,299905831616011
2020,09,01;84,685;0,718398961173357;;0,0751779026288059;0,0322191011266311;0,174204035071206
2020,10,01;85,518;0,453655960896299;0,102011784707976;0,0866187167321214;0,0371223071709092;0,320591230492694
