"Date","SP500","EUSTOXX50"
"2015-12-01",3286.679932,3286.679932
"2016-01-01",3045.090088,3045.090088
"2016-02-01",2945.75,2945.75
"2016-03-01",3004.929932,3004.929932
"2016-04-01",3028.209961,3028.209961
"2016-05-01",3063.47998,3063.47998
"2016-06-01",2864.73999,2864.73999
"2016-07-01",2990.76001,2990.76001
"2016-08-01",3010.360107,3010.360107
"2016-09-01",3002.23999,3002.23999
"2016-10-01",3055.25,3055.25
"2016-11-01",3051.610107,3051.610107
"2016-12-01",3197.540039,3197.540039
"2017-01-01",3230.679932,3230.679932
"2017-02-01",3319.610107,3319.610107
"2017-03-01",3500.929932,3500.929932
"2017-04-01",3559.590088,3559.590088
"2017-05-01",3554.590088,3554.590088
"2017-06-01",3441.879883,3441.879883
"2017-07-01",3449.360107,3449.360107
"2017-08-01",3421.469971,3421.469971
"2017-09-01",3594.850098,3594.850098
"2017-10-01",3673.949951,3673.949951
"2017-11-01",3569.929932,3569.929932
"2017-12-01",3503.959961,3503.959961
"2018-01-01",3609.290039,3609.290039
"2018-02-01",3438.959961,3438.959961
"2018-03-01",3361.5,3361.5
"2018-04-01",3536.52002,3536.52002
"2018-05-01",3406.649902,3406.649902
"2018-06-01",3395.600098,3395.600098
"2018-07-01",3525.48999,3525.48999
"2018-08-01",3392.899902,3392.899902
"2018-09-01",3399.199951,3399.199951
"2018-10-01",3197.51001,3197.51001
"2018-11-01",3173.129883,3173.129883
"2018-12-01",2937.360107,2937.360107
"2019-01-01",3159.429932,3159.429932
"2019-02-01",3298.26001,3298.26001
"2019-03-01",3351.709961,3351.709961
"2019-04-01",3514.620117,3514.620117
"2019-05-01",3280.429932,3280.429932
"2019-06-01",3473.689941,3473.689941
"2019-07-01",3466.850098,3466.850098
"2019-08-01",3426.76001,3426.76001
"2019-09-01",3569.449951,3569.449951
"2019-10-01",3604.409912,3604.409912
"2019-11-01",3703.580078,3703.580078
"2019-12-01",3745.149902,3745.149902
"2020-01-01",3640.909912,3640.909912
"2020-02-01",3329.48999,3329.48999
"2020-03-01",2786.899902,2786.899902
"2020-04-01",2927.929932,2927.929932
"2020-05-01",3050.199951,3050.199951
"2020-06-01",3234.070068,3234.070068
"2020-07-01",3174.320068,3174.320068
"2020-08-01",3272.51001,3272.51001
"2020-09-01",3193.610107,3193.610107
"2020-10-01",2958.209961,2958.209961
"2020-11-01",3467.600098,3467.600098
