Date,Ticker,Action,Portfolio,Segment
02-08-2021,AMAT,BUY,US,L
02-08-2021,FCX,BUY,US,L
02-08-2021,HOV,BUY,US,M
02-08-2021,ATKR,BUY,US,M
02-08-2021,CCS,BUY,US,M
02-08-2021,KFY,BUY,US,M
02-08-2021,HEP,BUY,US,M
02-08-2021,UCTT,BUY,US,M
02-08-2021,OMP,BUY,US,S
02-08-2021,MSB,BUY,US,S
02-08-2021,HQI,BUY,US,S
02-08-2021,BGFV,BUY,US,S
02-08-2021,IFA1V.HE,BUY,EU,S
05-07-2021,HONBS.HE,BUY,EU,S
05-07-2021,HEIJM.AS,BUY,EU,M
05-07-2021,PSM.DE,BUY,EU,L
05-07-2021,AVNW,BUY,US,S
05-07-2021,FLGT,BUY,US,M
05-07-2021,CTRN,BUY,US,M
05-07-2021,UCTT,BUY,US,M
05-07-2021,ENVA,BUY,US,M
05-07-2021,ATKR,BUY,US,M
05-07-2021,BIG,BUY,US,M
05-07-2021,CCS,BUY,US,M
05-07-2021,IIIN,BUY,US,M
05-07-2021,ASIX,BUY,US,M
05-07-2021,ECOM,BUY,US,M
05-07-2021,ETH,BUY,US,M
05-07-2021,WSM,BUY,US,L
05-07-2021,SNA,BUY,US,L
05-07-2021,FOXA,BUY,US,L
07-06-2021,GUI.PA,BUY,EU,S
07-06-2021,AKW.PA,BUY,EU,M
07-06-2021,MTU.PA,BUY,EU,M
07-06-2021,1COV.DE,BUY,EU,L
07-06-2021,SAP.DE,BUY,EU,M
07-06-2021,KIRK,BUY,US,S
07-06-2021,SGRP,BUY,US,S
07-06-2021,SNBR,BUY,US,M
07-06-2021,HZO,BUY,US,M
07-06-2021,WY,BUY,US,L
07-06-2021,MO,BUY,US,L
07-06-2021,KLAC,BUY,US,L
07-06-2021,SWKS,BUY,US,L
03-05-2021,1COV.DE,BUY,EU,L
03-05-2021,XPER,BUY,US,M
03-05-2021,SNBR,BUY,US,M
03-05-2021,TER,BUY,US,L
05-04-2021,LE,BUY,US,M
05-04-2021,MATX,BUY,US,L
01-03-2021,QCOM,BUY,US,L
01-03-2021,PAY.BR,BUY,EU,S
01-03-2021,ALNOV.PA,BUY,EU,M
01-03-2021,SAA1V.HE,BUY,EU,M
01-02-2021,TGT,BUY,US,L
01-02-2021,AAPL,BUY,US,L
01-02-2021,TER,BUY,US,L
01-02-2021,HCA,BUY,US,L
01-02-2021,ORDI.AS,BUY,EU,S
01-02-2021,ALREW.PA,BUY,EU,S
01-02-2021,SCANFL.HE,BUY,EU,M
01-02-2021,EQV1V.HE,BUY,EU,M
01-02-2021,VETO.PA,BUY,EU,M
01-02-2021,UPR.IR,BUY,EU,M
04-01-2021,COST,BUY,US,L
04-01-2021,PGR,BUY,US,L
04-01-2021,TSCO,BUY,US,L
04-01-2021,FAST,BUY,US,L
04-01-2021,ODFL,BUY,US,L
04-01-2021,RM.MI,BUY,EU,S
