"Ticker","CompanyName","Signal","Final_rank","Quality","Momentum","PER","NShares","CP","MCap","Slope","FCF","Debt","ROA","FCF2D","EV","FCF2EV","MomentumValue"
"DIA.MI","Diasorin","HOLD",18,18,18,38.1149655484832,NA,NA,NA,-0.182694930275074,0,0,0.19445999,0,NA,0,1.34849736426828
"STM.MI","STMicroelectronics","BUY",17,16,17,25.8083327611287,652964023,30.9699993133545,20222295343.9552,0.37981212996632,526624992,2816999936,0.063779995,5.34915732977595,NA,0,0.839448423415123
"MONC.MI","Moncler","HOLD",16,17,15,43.3220329931227,193245290,51.1199989318848,9878699018.39176,0.851783359209798,308259744,713267008,0.086619996,2.31385064668061,NA,0,0.73679665834214
"RACE.MI","Ferrari","HOLD",15,14,14,50.4268274074647,163801174,165.399993896484,27092713179.837,-0.00565649598045391,170617632,2724744960,0.07597,15.9698908492646,NA,0,0.694551291647261
"FBK.MI","FinecoBank","HOLD",14,11.5,13,25.8453235351782,NA,NA,NA,0.192467556895877,0,237991008,0.010829999,0,NA,0,0.626713371283496
"ENEL.MI","Enel","HOLD",13,7,16,19.4976193564279,7766370358,8.18900012969971,63598807868.958,0.116110156970656,3.015e+09,62194999296,0.040549997,20.6285238129353,NA,0,0.810979161485579
"CPR.MI","Campari","BUY",11.5,9,12,61.4624977111816,487313720,9.83399963378906,4792242944.02039,0.235692344125199,192100000,1660199936,0.040370002,8.64237343050494,NA,0,0.558278240145028
"US.MI","UnipolSai","HOLD",11.5,10,11,8.70138903458913,NA,NA,NA,0.0505193774466854,0,2.676e+09,0.01023,0,NA,0,0.53080951074584
"DLG.MI","De'Longhi S.p.A ","HOLD",10,11.5,9,25.455905361204,46441583,34.060001373291,1581800380.75781,0.465597000144091,240576000,673900032,0.06942,2.80119393455706,5009062912,20.8211247672253,0.375790147190195
"BGN.MI","Banca Generali","HOLD",9,13,7,12.7134403735021,NA,NA,NA,0.31109697739366,0,69400000,0.02204,0,NA,0,0.297240526590638
"TGYM.MI","Technogym","HOLD",8,15,3,31.9182377941204,86874830,10.1499996185303,881779491.359882,0.621509602792078,72083376,106507000,0.098950006,1.47755288265078,2039607168,28.2951115941074,-0.0346008148853093
"TRN.MI","Terna Rette Electrica","HOLD",7,5.5,10,16.2649352829178,1389088656,6.26200008392334,8698473280.44896,-0.0270673496681594,87075000,11822699520,0.04107,135.776049612403,NA,0,0.380907217563466
"BZU.MI","Buzzi Unicem","HOLD",6,8,5,9.83259898450406,130351637,22.3199996948242,2909448498.05984,0.177169723477057,350605760,1423106944,0.047420003,4.05899476380536,5012680704,14.2972000916357,0.169197731313364
"SRG.MI","Snam","HOLD",5,4,8,13.9690405075026,2038473869,4.51200008392334,9197594268.00354,0.053128471493833,324249984,15962000384,0.03803,49.2274515702058,NA,0,0.350685037477779
"A2A.MI","A2A","HOLD",3.5,3,4,12.9826089610224,1511498640,1.49300003051758,2256667515.64728,0.314800772791524,217124992,3664999936,0.03531,16.8796779322391,8346373632,38.440409623596,0.040581092934858
"PRY.MI","Prysmian","HOLD",3.5,1,6,37.4705875621122,242328890,25.4799995422363,6174540006.27064,0.17210442286933,123750000,3.172e+09,0.020510001,25.6323232323232,8659913728,69.9791008323232,0.175534840849857
"TIT.MI","Telecom Italia","HOLD",2,5.5,1,1.32565595665757,15485582799,0.454699993133545,7041294392.37424,0.412244686847076,5835350016,32162000896,0.01998,5.51158042067994,NA,0,-0.476629185952684
"LDO.MI","Leonardo","HOLD",1,2,2,18.5011929714594,395725268,7.7519998550415,3067662220.17226,0.580224269685819,237475008,5729999872,0.027679998,24.1288543171667,7801540608,32.8520490375139,-0.255546410590512
